Seed,Task,Domain,PlainAcc,PlainPerSampleMs,EvalSamples
42,MNIST,general,0.9426,0.01099034,5000
42,Fashion,general,0.8666,0.006485879999999999,5000
42,Medical,medical,0.9473684210526315,0.01115,114
42,Wine,general,0.9722222222222222,0.021080555555555554,36
42,Diabetes,medical,0.7640449438202247,0.012157303370786517,89
42,Heart,medical,0.8333333333333334,0.015334999999999998,60
42,Digits,general,0.95,0.007528055555555556,360
42,Liver,medical,0.7246376811594203,0.01446231884057971,69
52,MNIST,general,0.9404,0.0063306,5000
52,Fashion,general,0.861,0.00692228,5000
52,Medical,medical,0.9385964912280702,0.010985087719298247,114
52,Wine,general,0.9722222222222222,0.023194444444444445,36
52,Diabetes,medical,0.7303370786516854,0.012439325842696629,89
52,Heart,medical,0.8333333333333334,0.015445000000000002,60
52,Digits,general,0.9583333333333334,0.007753611111111112,360
52,Liver,medical,0.7101449275362319,0.014965217391304348,69
62,MNIST,general,0.9508,0.00569394,5000
62,Fashion,general,0.8674,0.0055544,5000
62,Medical,medical,0.9385964912280702,0.009571929824561403,114
62,Wine,general,0.9722222222222222,0.019458333333333334,36
62,Diabetes,medical,0.7191011235955056,0.010622471910112358,89
62,Heart,medical,0.8666666666666667,0.013208333333333334,60
62,Digits,general,0.95,0.006458611111111112,360
62,Liver,medical,0.6956521739130435,0.016298550724637678,69
