Task,Method,Status,AccMean,AccDropVsPlain,PerSampleMsMean,OnlineCommMB,OfflineSetupMB,SinglePointModelExposure,MinCollusionModel
Diabetes,2Cloud-D (Data-only),SUCCESS,0.7378277153558053,0.0,0.020571161048689137,0.0529632568359375,0.0,1,1
Diabetes,ASS (Ours),SUCCESS,0.7378277153558053,0.0,0.02501161048689139,0.0774078369140625,0.00080108642578125,0,2
Diabetes,3Share-DM (3-party),SUCCESS,0.7378277153558053,0.0,0.03328464419475655,0.16839599609375,0.0016021728515625,0,3
Digits,2Cloud-D (Data-only),SUCCESS,0.9527777777777777,0.0,0.0057603703703703706,0.582275390625,0.0,1,1
Digits,ASS (Ours),SUCCESS,0.9527777777777777,0.0,0.005623703703703704,0.81298828125,0.00919342041015625,0,2
Digits,3Share-DM (3-party),SUCCESS,0.9527777777777777,0.0,0.0080825,1.768798828125,0.0183868408203125,0,3
Fashion,2Cloud-D (Data-only),SUCCESS,0.865,0.0,0.0013428933333333333,50.201416015625,0.0,1,1
Fashion,ASS (Ours),SUCCESS,0.8650666666666667,-6.666666666665932e-05,0.0014883666666666666,60.72998046875,0.38822174072265625,0,2
Fashion,3Share-DM (3-party),SUCCESS,0.8652,-0.00019999999999997797,0.001966153333333333,127.105712890625,0.7764434814453125,0,3
Heart,2Cloud-D (Data-only),SUCCESS,0.8444444444444444,0.0,0.03004277777777778,0.037078857421875,0.0,1,1
Heart,ASS (Ours),SUCCESS,0.8444444444444444,0.0,0.03208277777777778,0.053558349609375,0.00098419189453125,0,2
Heart,3Share-DM (3-party),SUCCESS,0.8444444444444444,0.0,0.04807666666666667,0.11627197265625,0.0019683837890625,0,3
Liver,2Cloud-D (Data-only),SUCCESS,0.7101449275362319,0.0,0.02740338164251208,0.0221099853515625,0.0,1,1
Liver,ASS (Ours),SUCCESS,0.7101449275362319,0.0,0.029689855072463772,0.0326385498046875,0.00028228759765625,0,2
Liver,3Share-DM (3-party),SUCCESS,0.7101449275362319,0.0,0.046745893719806766,0.07159423828125,0.0005645751953125,0,3
MNIST,2Cloud-D (Data-only),SUCCESS,0.9445333333333333,6.666666666665932e-05,0.003664473333333333,50.201416015625,0.0,1,1
MNIST,ASS (Ours),SUCCESS,0.9445333333333333,6.666666666665932e-05,0.0015257533333333335,60.72998046875,0.38822174072265625,0,2
MNIST,3Share-DM (3-party),SUCCESS,0.9444666666666667,0.00013333333333331865,0.0020383933333333335,127.105712890625,0.7764434814453125,0,3
Medical,2Cloud-D (Data-only),SUCCESS,0.9415204678362573,0.0,0.017325438596491227,0.085235595703125,0.0,1,1
Medical,ASS (Ours),SUCCESS,0.9415204678362573,0.0,0.017557894736842106,0.116546630859375,0.00202178955078125,0,2
Medical,3Share-DM (3-party),SUCCESS,0.9415204678362573,0.0,0.02563391812865497,0.25048828125,0.0040435791015625,0,3
Wine,2Cloud-D (Data-only),SUCCESS,0.9722222222222222,0.0,0.050494444444444446,0.022796630859375,0.0,1,1
Wine,ASS (Ours),SUCCESS,0.9722222222222222,0.0,0.05417685185185185,0.033233642578125,0.001049041748046875,0,2
Wine,3Share-DM (3-party),SUCCESS,0.9722222222222222,0.0,0.07367314814814815,0.072509765625,0.00209808349609375,0,3
