Method,Batch,Throughput,Samples,Error
2Cloud-D (Data-only),256,119376.53738094406,4096,
ASS (Ours),256,113796.74390176144,4096,
3Share-DM (3-party),256,81009.29352222316,4096,
SecureNN (3PC),256,14073.666849917536,64,
2Cloud-D (Data-only),512,216979.0331295623,4096,
ASS (Ours),512,180211.096885463,4096,
3Share-DM (3-party),512,143925.8444574846,4096,
SecureNN (3PC),512,8167.536594392476,64,
2Cloud-D (Data-only),1024,465856.8763932488,4096,
ASS (Ours),1024,425682.2764024859,4096,
3Share-DM (3-party),1024,319987.50048826216,4096,
SecureNN (3PC),1024,4710.939685250342,64,
2Cloud-D (Data-only),2048,829536.0187941755,4096,
ASS (Ours),2048,810078.515910844,4096,
3Share-DM (3-party),2048,615292.1736517951,4096,
SecureNN (3PC),2048,2389.4773391676404,64,
